allocator::Initialize()
  hugepgsize: 2097152
  use MADV_WILLNEED: 1
  mmap() region [0x7f46f577f000, 0x7f473797f000)
cpu0 owns [0x7f46f5800000, 0x7f46f8400000)
cpu1 owns [0x7f46f8400000, 0x7f46fb000000)
cpu2 owns [0x7f46fb000000, 0x7f46fdc00000)
cpu3 owns [0x7f46fdc00000, 0x7f4700800000)
cpu4 owns [0x7f4700800000, 0x7f4703400000)
cpu5 owns [0x7f4703400000, 0x7f4706000000)
cpu6 owns [0x7f4706000000, 0x7f4708c00000)
cpu7 owns [0x7f4708c00000, 0x7f470b800000)
cpu8 owns [0x7f470b800000, 0x7f470e400000)
cpu9 owns [0x7f470e400000, 0x7f4711000000)
cpu10 owns [0x7f4711000000, 0x7f4713c00000)
cpu11 owns [0x7f4713c00000, 0x7f4716800000)
cpu12 owns [0x7f4716800000, 0x7f4719400000)
cpu13 owns [0x7f4719400000, 0x7f471c000000)
cpu14 owns [0x7f471c000000, 0x7f471ec00000)
cpu15 owns [0x7f471ec00000, 0x7f4721800000)
cpu16 owns [0x7f4721800000, 0x7f4724400000)
cpu17 owns [0x7f4724400000, 0x7f4727000000)
cpu18 owns [0x7f4727000000, 0x7f4729c00000)
cpu19 owns [0x7f4729c00000, 0x7f472c800000)
cpu20 owns [0x7f472c800000, 0x7f472f400000)
cpu21 owns [0x7f472f400000, 0x7f4732000000)
cpu22 owns [0x7f4732000000, 0x7f4734c00000)
cpu23 owns [0x7f4734c00000, 0x7f4737800000)
Database Benchmark:
  pid: 1034765
settings:
  par-loading : 0
  pin-cpus    : 1
  slow-exit   : 0
  retry-txns  : 1
  backoff-txns: 0
  bench       : tpcc
  scale       : 24
  num-cpus    : 32
  num-threads : 24
  shardIndex  : 7
  paxos_proc_name  : localhost
  nshards     : 10
  db-type     : mbta
  basedir     : ./tmp
  txn-flags   : 1
  runtime     : 20
  var-encode  : yes
  allocator   : jemalloc
  numa-memory : 1107296256
  logfiles : []
  assignments : []
  disable-gc : 0
  disable-snapshots : 0
  stats-server-sockfile: 
system properties:
  tuple_prefetch          : no
  btree_node_prefetch     : yes
I [../src/deptran/paxos_main_helper.cc:78] 2025-05-02 16:19:41.527 | PWD : /home/rolis/srolis
I [../src/deptran/paxos_main_helper.cc:274] 2025-05-02 16:19:41.535 | starting process 1034765
I [../src/deptran/config.cc:290] 2025-05-02 16:19:41.535 | LoadYML: third-party/paxos/config/1leader_2followers/paxos24_shardidx7.yml
I [../src/deptran/config.cc:290] 2025-05-02 16:19:41.537 | LoadYML: third-party/paxos/config/occ_paxos.yml
I [../src/deptran/paxos_main_helper.cc:283] 2025-05-02 16:19:41.538 | server_infos, number of sites: 24, proc_name: localhost
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.542 | parition id of each Paxos group is 23, site-name: s124, site-id: 92
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.546 | parition id of each Paxos group is 22, site-name: s123, site-id: 88
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.550 | parition id of each Paxos group is 21, site-name: s122, site-id: 84
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.554 | parition id of each Paxos group is 20, site-name: s121, site-id: 80
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.558 | parition id of each Paxos group is 19, site-name: s120, site-id: 76
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.561 | parition id of each Paxos group is 18, site-name: s119, site-id: 72
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.565 | parition id of each Paxos group is 17, site-name: s118, site-id: 68
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.569 | parition id of each Paxos group is 16, site-name: s117, site-id: 64
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.573 | parition id of each Paxos group is 15, site-name: s116, site-id: 60
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.576 | parition id of each Paxos group is 14, site-name: s115, site-id: 56
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.580 | parition id of each Paxos group is 13, site-name: s114, site-id: 52
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 16:19:41.584 | parition id of each Paxos group is 12, site-name: s113, site-id: 48
