allocator::Initialize()
  hugepgsize: 2097152
  use MADV_WILLNEED: 1
  mmap() region [0x7f212557f000, 0x7f216777f000)
cpu0 owns [0x7f2125600000, 0x7f2128200000)
cpu1 owns [0x7f2128200000, 0x7f212ae00000)
cpu2 owns [0x7f212ae00000, 0x7f212da00000)
cpu3 owns [0x7f212da00000, 0x7f2130600000)
cpu4 owns [0x7f2130600000, 0x7f2133200000)
cpu5 owns [0x7f2133200000, 0x7f2135e00000)
cpu6 owns [0x7f2135e00000, 0x7f2138a00000)
cpu7 owns [0x7f2138a00000, 0x7f213b600000)
cpu8 owns [0x7f213b600000, 0x7f213e200000)
cpu9 owns [0x7f213e200000, 0x7f2140e00000)
cpu10 owns [0x7f2140e00000, 0x7f2143a00000)
cpu11 owns [0x7f2143a00000, 0x7f2146600000)
cpu12 owns [0x7f2146600000, 0x7f2149200000)
cpu13 owns [0x7f2149200000, 0x7f214be00000)
cpu14 owns [0x7f214be00000, 0x7f214ea00000)
cpu15 owns [0x7f214ea00000, 0x7f2151600000)
cpu16 owns [0x7f2151600000, 0x7f2154200000)
cpu17 owns [0x7f2154200000, 0x7f2156e00000)
cpu18 owns [0x7f2156e00000, 0x7f2159a00000)
cpu19 owns [0x7f2159a00000, 0x7f215c600000)
cpu20 owns [0x7f215c600000, 0x7f215f200000)
cpu21 owns [0x7f215f200000, 0x7f2161e00000)
cpu22 owns [0x7f2161e00000, 0x7f2164a00000)
cpu23 owns [0x7f2164a00000, 0x7f2167600000)
Database Benchmark:
  pid: 774409
settings:
  par-loading : 0
  pin-cpus    : 1
  slow-exit   : 0
  retry-txns  : 1
  backoff-txns: 0
  bench       : tpcc
  scale       : 24
  num-cpus    : 32
  num-threads : 24
  shardIndex  : 0
  paxos_proc_name  : localhost
  nshards     : 2
  db-type     : mbta
  basedir     : ./tmp
  txn-flags   : 1
  runtime     : 30
  var-encode  : yes
  allocator   : jemalloc
  numa-memory : 1107296256
  logfiles : []
  assignments : []
  disable-gc : 0
  disable-snapshots : 0
  stats-server-sockfile: 
system properties:
  tuple_prefetch          : no
  btree_node_prefetch     : yes
I [../src/deptran/paxos_main_helper.cc:78] 2025-05-02 02:51:51.283 | PWD : /home/rolis/srolis
I [../src/deptran/paxos_main_helper.cc:274] 2025-05-02 02:51:51.287 | starting process 774409
I [../src/deptran/config.cc:290] 2025-05-02 02:51:51.287 | LoadYML: third-party/paxos/config/1leader_2followers/paxos24_shardidx0.yml
I [../src/deptran/config.cc:290] 2025-05-02 02:51:51.288 | LoadYML: third-party/paxos/config/occ_paxos.yml
I [../src/deptran/paxos_main_helper.cc:283] 2025-05-02 02:51:51.289 | server_infos, number of sites: 24, proc_name: localhost
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.293 | parition id of each Paxos group is 23, site-name: s124, site-id: 92
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.296 | parition id of each Paxos group is 22, site-name: s123, site-id: 88
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.300 | parition id of each Paxos group is 21, site-name: s122, site-id: 84
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.303 | parition id of each Paxos group is 20, site-name: s121, site-id: 80
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.307 | parition id of each Paxos group is 19, site-name: s120, site-id: 76
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.310 | parition id of each Paxos group is 18, site-name: s119, site-id: 72
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.314 | parition id of each Paxos group is 17, site-name: s118, site-id: 68
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.318 | parition id of each Paxos group is 16, site-name: s117, site-id: 64
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.322 | parition id of each Paxos group is 15, site-name: s116, site-id: 60
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.325 | parition id of each Paxos group is 14, site-name: s115, site-id: 56
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.328 | parition id of each Paxos group is 13, site-name: s114, site-id: 52
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.332 | parition id of each Paxos group is 12, site-name: s113, site-id: 48
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.335 | parition id of each Paxos group is 11, site-name: s112, site-id: 44
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.338 | parition id of each Paxos group is 10, site-name: s111, site-id: 40
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.342 | parition id of each Paxos group is 9, site-name: s110, site-id: 36
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.345 | parition id of each Paxos group is 8, site-name: s109, site-id: 32
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.349 | parition id of each Paxos group is 7, site-name: s108, site-id: 28
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.352 | parition id of each Paxos group is 6, site-name: s107, site-id: 24
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.356 | parition id of each Paxos group is 5, site-name: s106, site-id: 20
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.359 | parition id of each Paxos group is 4, site-name: s105, site-id: 16
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.363 | parition id of each Paxos group is 3, site-name: s104, site-id: 12
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.366 | parition id of each Paxos group is 2, site-name: s103, site-id: 8
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.369 | parition id of each Paxos group is 1, site-name: s102, site-id: 4
I [../src/deptran/paxos_main_helper.cc:289] 2025-05-02 02:51:51.373 | parition id of each Paxos group is 0, site-name: s101, site-id: 0
I [../src/deptran/paxos_main_helper.cc:295] 2025-05-02 02:51:51.373 | running machine-id: 0
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.373 | launching site: 0, bind address 0.0.0.0:7001
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.373 | launching site: 4, bind address 0.0.0.0:7002
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.374 | launching site: 8, bind address 0.0.0.0:7003
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.374 | launching site: c, bind address 0.0.0.0:7004
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.376 | [service]loc_id: 0, name: s101, proc: localhost, id: 0
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.376 | launching site: 10, bind address 0.0.0.0:7005
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.376 | [service]loc_id: 0, name: s102, proc: localhost, id: 4
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.376 | [service]loc_id: 0, name: s103, proc: localhost, id: 8
starting server at 0.0.0.0:7001
starting server at 0.0.0.0:7002
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.377 | rrr::Server: started on 0.0.0.0:7001
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.377 | rrr::Server: started on 0.0.0.0:7002
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.377 | Server s102 ready at 0.0.0.0:7002
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.377 | Server s101 ready at 0.0.0.0:7001
starting server at 0.0.0.0:7003
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.377 | setup paxos communicator
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.377 | setup paxos communicator
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.377 | launching site: 14, bind address 0.0.0.0:7006
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.378 | [service]loc_id: 0, name: s104, proc: localhost, id: 12
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.378 | rrr::Server: started on 0.0.0.0:7003
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.378 | Server s103 ready at 0.0.0.0:7003
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.378 | setup paxos communicator
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.378 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.378 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.378 | connect to site: 172.19.0.10:7101 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.378 | connect to site: 172.19.0.10:7101 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.378 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.378 | [service]loc_id: 0, name: s105, proc: localhost, id: 16
starting server at 0.0.0.0:7004
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.378 | connect to site: 172.19.0.10:7101 (attempt 0)
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.378 | launching site: 18, bind address 0.0.0.0:7007
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.379 | rrr::Server: started on 0.0.0.0:7004
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.379 | Server s104 ready at 0.0.0.0:7004
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.379 | setup paxos communicator
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.379 | launching site: 1c, bind address 0.0.0.0:7008
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.380 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.380 | connect to site: 172.19.0.10:7101 (attempt 0)
starting server at 0.0.0.0:7005
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.380 | launching site: 20, bind address 0.0.0.0:7009
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.380 | rrr::Server: started on 0.0.0.0:7005
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.380 | Server s105 ready at 0.0.0.0:7005
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.381 | setup paxos communicator
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.381 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.381 | connect to site: 172.19.0.10:7101 (attempt 0)
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.382 | launching site: 24, bind address 0.0.0.0:7010
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.382 | [service]loc_id: 0, name: s106, proc: localhost, id: 20
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.382 | launching site: 28, bind address 0.0.0.0:7011
starting server at 0.0.0.0:7006
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.383 | rrr::Server: started on 0.0.0.0:7006
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.383 | Server s106 ready at 0.0.0.0:7006
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.383 | setup paxos communicator
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.383 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.383 | connect to site: 172.19.0.10:7101 (attempt 0)
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.383 | launching site: 2c, bind address 0.0.0.0:7012
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.384 | launching site: 30, bind address 0.0.0.0:7013
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.385 | rrr::Client: connect(172.19.0.10:7101): Connection refused
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.385 | rrr::Client: connect(172.19.0.10:7101): Connection refused
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.385 | rrr::Client: connect(172.19.0.10:7101): Connection refused
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.385 | rrr::Client: connect(172.19.0.10:7101): Connection refused
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.385 | rrr::Client: connect(172.19.0.10:7101): Connection refused
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.385 | rrr::Client: connect(172.19.0.10:7101): Connection refused
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.385 | launching site: 34, bind address 0.0.0.0:7014
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.386 | launching site: 38, bind address 0.0.0.0:7015
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.386 | launching site: 3c, bind address 0.0.0.0:7016
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.387 | [service]loc_id: 0, name: s107, proc: localhost, id: 24
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.387 | launching site: 40, bind address 0.0.0.0:7017
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.387 | launching site: 44, bind address 0.0.0.0:7018
starting server at 0.0.0.0:7007
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.388 | launching site: 48, bind address 0.0.0.0:7019
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.389 | rrr::Server: started on 0.0.0.0:7007
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.389 | Server s107 ready at 0.0.0.0:7007
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.390 | launching site: 4c, bind address 0.0.0.0:7020
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.390 | setup paxos communicator
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.390 | [service]loc_id: 0, name: s108, proc: localhost, id: 28
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.390 | launching site: 50, bind address 0.0.0.0:7021
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.391 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.391 | connect to site: 172.19.0.10:7101 (attempt 0)
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.392 | rrr::Client: connect(172.19.0.10:7101): Connection refused
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.392 | [service]loc_id: 0, name: s109, proc: localhost, id: 32
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.391 | launching site: 54, bind address 0.0.0.0:7022
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.392 | [service]loc_id: 0, name: s110, proc: localhost, id: 36
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.392 | [service]loc_id: 0, name: s111, proc: localhost, id: 40
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.392 | launching site: 58, bind address 0.0.0.0:7023
starting server at 0.0.0.0:7008
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.393 | rrr::Server: started on 0.0.0.0:7008
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.393 | Server s108 ready at 0.0.0.0:7008
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.393 | setup paxos communicator
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.393 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.393 | connect to site: 172.19.0.10:7101 (attempt 0)
starting server at 0.0.0.0:7009
starting server at 0.0.0.0:7011
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.394 | rrr::Client: connect(172.19.0.10:7101): Connection refused
I [../src/deptran/paxos_main_helper.cc:104] 2025-05-02 02:51:51.394 | waiting for server setup threads.
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.394 | rrr::Server: started on 0.0.0.0:7009
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.394 | [service]loc_id: 0, name: s112, proc: localhost, id: 44
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.394 | Server s109 ready at 0.0.0.0:7009
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.394 | rrr::Server: started on 0.0.0.0:7011
starting server at 0.0.0.0:7010
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.394 | Server s111 ready at 0.0.0.0:7011
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.394 | setup paxos communicator
I [../src/deptran/paxos_main_helper.cc:89] 2025-05-02 02:51:51.394 | launching site: 5c, bind address 0.0.0.0:7024
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.394 | setup paxos communicator
I [../src/rrr/rpc/server.cpp:537] 2025-05-02 02:51:51.394 | rrr::Server: started on 0.0.0.0:7010
I [../src/deptran/paxos_worker.cc:220] 2025-05-02 02:51:51.394 | Server s110 ready at 0.0.0.0:7010
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.394 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:14] 2025-05-02 02:51:51.394 | setup paxos communicator
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.394 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.394 | connect to site: 172.19.0.10:7101 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.394 | connect to site: 172.19.0.10:7101 (attempt 0)
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.395 | rrr::Client: connect(172.19.0.10:7101): Connection refused
E [../src/rrr/rpc/client.cpp:166] 2025-05-02 02:51:51.395 | rrr::Client: connect(172.19.0.10:7101): Connection refused
I [../src/deptran/paxos_worker.cc:197] 2025-05-02 02:51:51.395 | [service]loc_id: 0, name: s113, proc: localhost, id: 48
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.395 | connect to site: 172.19.0.33:7001 (attempt 0)
I [../src/deptran/communicator.cc:167] 2025-05-02 02:51:51.395 | connect to site: 172.19.0.10:7101 (attempt 0)
