allocator::Initialize()
  hugepgsize: 2097152
  use MADV_WILLNEED: 1
  mmap() region [0x7f642557f000, 0x7f646777f000)
cpu0 owns [0x7f6425600000, 0x7f6428200000)
cpu1 owns [0x7f6428200000, 0x7f642ae00000)
cpu2 owns [0x7f642ae00000, 0x7f642da00000)
cpu3 owns [0x7f642da00000, 0x7f6430600000)
cpu4 owns [0x7f6430600000, 0x7f6433200000)
cpu5 owns [0x7f6433200000, 0x7f6435e00000)
cpu6 owns [0x7f6435e00000, 0x7f6438a00000)
cpu7 owns [0x7f6438a00000, 0x7f643b600000)
cpu8 owns [0x7f643b600000, 0x7f643e200000)
cpu9 owns [0x7f643e200000, 0x7f6440e00000)
cpu10 owns [0x7f6440e00000, 0x7f6443a00000)
cpu11 owns [0x7f6443a00000, 0x7f6446600000)
cpu12 owns [0x7f6446600000, 0x7f6449200000)
cpu13 owns [0x7f6449200000, 0x7f644be00000)
cpu14 owns [0x7f644be00000, 0x7f644ea00000)
cpu15 owns [0x7f644ea00000, 0x7f6451600000)
cpu16 owns [0x7f6451600000, 0x7f6454200000)
cpu17 owns [0x7f6454200000, 0x7f6456e00000)
cpu18 owns [0x7f6456e00000, 0x7f6459a00000)
cpu19 owns [0x7f6459a00000, 0x7f645c600000)
cpu20 owns [0x7f645c600000, 0x7f645f200000)
cpu21 owns [0x7f645f200000, 0x7f6461e00000)
cpu22 owns [0x7f6461e00000, 0x7f6464a00000)
cpu23 owns [0x7f6464a00000, 0x7f6467600000)
Database Benchmark:
  pid: 51844
settings:
  par-loading : 0
  pin-cpus    : 1
  slow-exit   : 0
  retry-txns  : 1
  backoff-txns: 0
  bench       : tpcc
  scale       : 24
  num-cpus    : 32
  num-threads : 24
  shardIndex  : 0
  paxos_proc_name  : localhost
  nshards     : 10
  db-type     : mbta
  basedir     : ./tmp
  txn-flags   : 1
  runtime     : 20
  var-encode  : yes
  allocator   : jemalloc
  numa-memory : 1107296256
  logfiles : []
  assignments : []
  disable-gc : 0
  disable-snapshots : 0
  stats-server-sockfile: 
system properties:
  tuple_prefetch          : no
  btree_node_prefetch     : yes
I [../src/deptran/paxos_main_helper.cc:77] 2023-12-01 02:57:31.348 | PWD : /home/azureuser/srolis
I [../src/deptran/paxos_main_helper.cc:273] 2023-12-01 02:57:31.348 | starting process 51844
I [../src/deptran/config.cc:290] 2023-12-01 02:57:31.348 | LoadYML: third-party/paxos/config/1leader_2followers/paxos24_shardidx0.yml
I [../src/deptran/config.cc:290] 2023-12-01 02:57:31.349 | LoadYML: third-party/paxos/config/occ_paxos.yml
I [../src/deptran/paxos_main_helper.cc:282] 2023-12-01 02:57:31.349 | server_infos, number of sites: 24, proc_name: localhost
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.353 | parition id of each Paxos group is 23, site-name: s124, site-id: 92
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.356 | parition id of each Paxos group is 22, site-name: s123, site-id: 88
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.359 | parition id of each Paxos group is 21, site-name: s122, site-id: 84
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.363 | parition id of each Paxos group is 20, site-name: s121, site-id: 80
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.367 | parition id of each Paxos group is 19, site-name: s120, site-id: 76
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.370 | parition id of each Paxos group is 18, site-name: s119, site-id: 72
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.374 | parition id of each Paxos group is 17, site-name: s118, site-id: 68
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.377 | parition id of each Paxos group is 16, site-name: s117, site-id: 64
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.381 | parition id of each Paxos group is 15, site-name: s116, site-id: 60
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.384 | parition id of each Paxos group is 14, site-name: s115, site-id: 56
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.387 | parition id of each Paxos group is 13, site-name: s114, site-id: 52
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 02:57:31.391 | parition id of each Paxos group is 12, site-name: s113, site-id: 48
