allocator::Initialize()
  hugepgsize: 2097152
  use MADV_WILLNEED: 1
  mmap() region [0x7f4f4d77f000, 0x7f4f8f97f000)
cpu0 owns [0x7f4f4d800000, 0x7f4f50400000)
cpu1 owns [0x7f4f50400000, 0x7f4f53000000)
cpu2 owns [0x7f4f53000000, 0x7f4f55c00000)
cpu3 owns [0x7f4f55c00000, 0x7f4f58800000)
cpu4 owns [0x7f4f58800000, 0x7f4f5b400000)
cpu5 owns [0x7f4f5b400000, 0x7f4f5e000000)
cpu6 owns [0x7f4f5e000000, 0x7f4f60c00000)
cpu7 owns [0x7f4f60c00000, 0x7f4f63800000)
cpu8 owns [0x7f4f63800000, 0x7f4f66400000)
cpu9 owns [0x7f4f66400000, 0x7f4f69000000)
cpu10 owns [0x7f4f69000000, 0x7f4f6bc00000)
cpu11 owns [0x7f4f6bc00000, 0x7f4f6e800000)
cpu12 owns [0x7f4f6e800000, 0x7f4f71400000)
cpu13 owns [0x7f4f71400000, 0x7f4f74000000)
cpu14 owns [0x7f4f74000000, 0x7f4f76c00000)
cpu15 owns [0x7f4f76c00000, 0x7f4f79800000)
cpu16 owns [0x7f4f79800000, 0x7f4f7c400000)
cpu17 owns [0x7f4f7c400000, 0x7f4f7f000000)
cpu18 owns [0x7f4f7f000000, 0x7f4f81c00000)
cpu19 owns [0x7f4f81c00000, 0x7f4f84800000)
cpu20 owns [0x7f4f84800000, 0x7f4f87400000)
cpu21 owns [0x7f4f87400000, 0x7f4f8a000000)
cpu22 owns [0x7f4f8a000000, 0x7f4f8cc00000)
cpu23 owns [0x7f4f8cc00000, 0x7f4f8f800000)
Database Benchmark:
  pid: 31913
settings:
  par-loading : 0
  pin-cpus    : 1
  slow-exit   : 0
  retry-txns  : 1
  backoff-txns: 0
  bench       : tpcc
  scale       : 24
  num-cpus    : 32
  num-threads : 24
  shardIndex  : 3
  paxos_proc_name  : localhost
  nshards     : 10
  db-type     : mbta
  basedir     : ./tmp
  txn-flags   : 1
  runtime     : 20
  var-encode  : yes
  allocator   : jemalloc
  numa-memory : 1107296256
  logfiles : []
  assignments : []
  disable-gc : 0
  disable-snapshots : 0
  stats-server-sockfile: 
system properties:
  tuple_prefetch          : no
  btree_node_prefetch     : yes
I [../src/deptran/paxos_main_helper.cc:77] 2023-12-01 03:06:03.362 | PWD : /home/azureuser/srolis
I [../src/deptran/paxos_main_helper.cc:273] 2023-12-01 03:06:03.367 | starting process 31913
I [../src/deptran/config.cc:290] 2023-12-01 03:06:03.367 | LoadYML: third-party/paxos/config/1leader_2followers/paxos24_shardidx3.yml
I [../src/deptran/config.cc:290] 2023-12-01 03:06:03.369 | LoadYML: third-party/paxos/config/occ_paxos.yml
I [../src/deptran/paxos_main_helper.cc:282] 2023-12-01 03:06:03.369 | server_infos, number of sites: 24, proc_name: localhost
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.373 | parition id of each Paxos group is 23, site-name: s124, site-id: 92
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.377 | parition id of each Paxos group is 22, site-name: s123, site-id: 88
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.381 | parition id of each Paxos group is 21, site-name: s122, site-id: 84
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.385 | parition id of each Paxos group is 20, site-name: s121, site-id: 80
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.389 | parition id of each Paxos group is 19, site-name: s120, site-id: 76
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.392 | parition id of each Paxos group is 18, site-name: s119, site-id: 72
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.397 | parition id of each Paxos group is 17, site-name: s118, site-id: 68
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.400 | parition id of each Paxos group is 16, site-name: s117, site-id: 64
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.405 | parition id of each Paxos group is 15, site-name: s116, site-id: 60
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.408 | parition id of each Paxos group is 14, site-name: s115, site-id: 56
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.412 | parition id of each Paxos group is 13, site-name: s114, site-id: 52
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.416 | parition id of each Paxos group is 12, site-name: s113, site-id: 48
I [../src/deptran/paxos_main_helper.cc:288] 2023-12-01 03:06:03.420 | parition id of each Paxos group is 11, site-name: s112, site-id: 44
